,uri,genres
2000,spotify:track:3PkGlPiPrehqbgCXJhxvwl,adult standards
2001,spotify:track:3AdX0KdVoMBqe82b19rWAU,adult standards
2002,spotify:track:5cAGsX0EzCqKuQr7nui6T7,classic soul
2003,spotify:track:1QoPtpJPMP0Zx8oxd0eDip,adult standards
2004,spotify:track:5W5FVsgGCe3T9nIMkiXqNo,disco
2005,spotify:track:714hERk9U1W8FMYkoC83CO,disco
2006,spotify:track:3rwzr0FvLhutQazlDqpOai,glam rock
2007,spotify:track:6Qb7gtV6Q4MnUjSbkFcopl,classic rock
2008,spotify:track:5x9xxVr7nJ9xMfDIW02Nv3,rare groove
2009,spotify:track:28WMPttAOsyV90WNiMXESa,classic soul
2010,spotify:track:777NOXupZkFdg8zlPMoVqc,album rock
2011,spotify:track:1i5oEx2vFczQ2sCY3c6Kn5,album rock
2012,spotify:track:0AQqrtK1pULuwZUXhwaaDz,mellow gold
2013,spotify:track:1hQFF33xi8ruavZNyovtUN,adult standards
2014,spotify:track:2cWHN0WK52RGAWHgaDamUA,album rock
2015,spotify:track:74DrA5fFoGSy4xgkZarZtP,album rock
2016,spotify:track:0qgsctXeEVnUwgGESn3vW4,mellow gold
2017,spotify:track:0bqZnsPz4klg5TuWGcKb34,classic soul
2018,spotify:track:2CeoxR14ZbXZ1FVYYV6wkm,classic soul
2019,spotify:track:00HnYt4dGTSZJIxywDcs7P,nursery
2020,spotify:track:6OWlPonGJzHhBtoNef1y0u,plugg
2021,spotify:track:1tMyqN7bNCokdg7jWgKPc8,memphis soul
2022,spotify:track:064SVQsmWl5EF0zahmzkQk,classic country pop
2023,spotify:track:6208B8Utmd2fTqgGMjeNr6,classic uk pop
2024,spotify:track:1xsYj84j7hUDDnTTerGWlH,album rock
2025,spotify:track:3FZB0xezeoc1ddx72eg7iF,classic soul
2026,spotify:track:41hirbtJ1ShR5wGZcrnu4p,country rock
2027,spotify:track:3W7sJgfcVgR3ifmFxid141,adult standards
2028,spotify:track:4JRem7xHp2l0kmUvt9zCKu,art rock
2029,spotify:track:6BD1X1PeV5UzYUdiVaD2yL,album rock
2030,spotify:track:7tFiyTwD0nx5a1eklYtX2J,classic rock
2031,spotify:track:53jmJCdP9tiIWS7Gm2t1iz,adult standards
2032,spotify:track:2pS6zWWQCpO0IVEBIbzJh8,american folk revival
2033,spotify:track:2hE5Lm5XOHR4t3xlhIFauP,country rock
2034,spotify:track:3uiMBldZ07pW0ySHDX5gzE,album rock
2035,spotify:track:7p69wKs8ghwkMeicZodF7G,adult standards
2036,spotify:track:66wkmlfx3H0Oqg1frvJjhu,disco
2037,spotify:track:4IYoyOVK9oQyJS1QZt5Vyj,
2038,spotify:track:31dUwU4AkUROM1j4Rt3FdN,adult standards
2039,spotify:track:1qjrYozGqc7upUgfN776lZ,album rock
2040,spotify:track:0AcMQuevh5DcD6yDHFv3mR,europop
2041,spotify:track:20JcxdRw8gvqTY1EEpYxHb,southern soul
2042,spotify:track:3vuxeQgFafAYvOghmxqLLK,dream pop
2043,spotify:track:3maAFCOtAdJElV8gdU5GG4,mellow gold
2044,spotify:track:26m5AuzikEdkIQ5x3mOr62,album rock
2045,spotify:track:0s6E8LxUNeRjm9rXEh9e9w,album rock
2046,spotify:track:1EtDI7CDVN8qkVaXfkmCdC,disco
2047,spotify:track:1pBAsoHy7eN9aeVCTAiKua,soft rock
2048,spotify:track:0e0GPnDLiJ7Trx5V04Qe5Z,korean pop
2049,spotify:track:0rHiGIRASJq8snJGFJMpnI,classic soul
2050,spotify:track:5vVuiXoHyRGxJeCaHUpgae,album rock
2051,spotify:track:0heydDe48z4u6n7KNKDHkr,mellow gold
2052,spotify:track:3tGhRLgcCP6SIZU3tbGl7l,beatlesque
2053,spotify:track:3Whxt8aH0WNNUeu70yxvEJ,hollywood
