,uri,genres
1361,spotify:track:6l8EbYRtQMgKOyc1gcDHF9,classic rock
1362,spotify:track:7AvvmekN7IB4g8uEEBvSAA,nederpop
1363,spotify:track:0s1PceKn7sF0Pc8bsnDN1t,
1364,spotify:track:6xztagjarEmusmarhi67w2,bubblegum pop
1365,spotify:track:41iPmvB2ogl3dzEHw9EZh0,album rock
1366,spotify:track:1XM8rG5yEi8wTeTSHJUoom,
1367,spotify:track:5tmrnhMxx39jnu3kjopMdP,blues rock
1368,spotify:track:7iN1s7xHE4ifF5povM6A48,beatlesque
1369,spotify:track:2BkXpZSvPoUDMLI2Xw9kAL,beatlesque
1370,spotify:track:6D8kc7RO0rqBLSo2YPflJ5,motown
1371,spotify:track:5Ts1DYOuouQLgzTaisxWYh,
1372,spotify:track:0jvN7eQJJt4nxQzgQfZ1SP,classic rock
1373,spotify:track:6IjvCFBNprUHhlamLey2Tb,british blues
1374,spotify:track:0wb21I1NV5uVUolRXIqlJF,album rock
1375,spotify:track:4Ht8wlFBxdNiQQSdWTBOik,bubblegum pop
1376,spotify:track:3uQyGzJkoJ4N0rBVuCCuOB,album rock
1377,spotify:track:6hnyQ0YpiO35rutiLLHLmr,
1378,spotify:track:1JVvzXYupK5ED9KaX4VFW9,classic soul
1379,spotify:track:3rrrMhc76FDnS4N7wu2KfH,classic country pop
1380,spotify:track:5o3qMny3Ym8O512RKrNoLw,chicago soul
1381,spotify:track:2DASj6MN2XNsc2bttRBRbq,
1382,spotify:track:0AI8m48NpZAAoAXW55RlzZ,album rock
1383,spotify:track:4m9zF5OiikfhWTjcXTHAJx,psychedelic rock
1384,spotify:track:6QhXQOpyYvbpdbyjgAqKdY,classic rock
1385,spotify:track:1hzRlAoXbslnQNqfSyAbKk,
1386,spotify:track:6TtWuzlHNTvtnpO0pI83MU,canadian psychedelic
1387,spotify:track:2gImbBWvXQWQ9ZDSQUWvNI,classic soul
1388,spotify:track:5F6XsffCcDXwJmJXiuPRle,blues rock
1389,spotify:track:1W24W6jQegnNh0x5DfBBPT,melodic rap
1390,spotify:track:14vDlv40PzpXKBo6qmht6M,album rock
1391,spotify:track:1FK3v638FHQcDJydhZdmtW,adult standards
