,uri,genres
1000,spotify:track:6y8o4V2R2dSt2ijgL8C72W,memphis soul
1001,spotify:track:7K09lHx812oLYFMHSVEbp0,adult standards
1002,spotify:track:73XQBWHSVLL1939hb8cQTm,british invasion
1003,spotify:track:3RnsnfrquBAy6kIejQzc2C,bubblegum pop
1004,spotify:track:6cQdZhnwKIeLud5qTD7BuQ,classic garage rock
1005,spotify:track:602FffJEffSJnWC8eHDIwv,
1006,spotify:track:3UyZnkRnMKHKxsLwcGast6,album rock
1007,spotify:track:4WVDaesMXyHKO8jyr9w6tE,classic rock
1008,spotify:track:5BFWQXNGPYadZxNKxY1UfU,adult standards
1009,spotify:track:6QeBPf8oEpIU55p1LqiUJv,northern soul
1010,spotify:track:6pT33ADvrAnXzNUFvlrRdQ,beatlesque
1011,spotify:track:4KUGhh0lsJ8GxQJ1Um8UrB,adult standards
1012,spotify:track:6Sfz7OhN8Hh9plicJoIvDw,bubblegum pop
1013,spotify:track:6WIh0P8aupqSHeqUULThF0,adult standards
1014,spotify:track:3qCHUm73I3o5F1mDEfibzo,british blues
1015,spotify:track:0WgbA5tqYfYoWB9eMFMVom,
1016,spotify:track:4xbEZAkHlMF66O11IRHTzB,detroit rock
1017,spotify:track:6NF8MZ2trxckVBr82pyyPt,bebop
1018,spotify:track:40BvPdq2rwYIoioUgjKHoK,easy listening
1019,spotify:track:5Y9St7Txe6OT7MgXknJwDr,classic soul
1020,spotify:track:2wvr1ITeMHg51JQXT0gltU,baroque pop
1021,spotify:track:1JO1xLtVc8mWhIoE3YaCL0,bubblegum pop
1022,spotify:track:1mFrjW8e8fuAOowlU3Q3Dr,classic rock
1023,spotify:track:1x4cWY0XlKELUqGjVYGn6V,lounge
1024,spotify:track:0LVvnJs7eOuHIkWwjWHEWF,classic soul
1025,spotify:track:6Z7BSliABjBc0epIMVn2FU,adult standards
1026,spotify:track:1h04XMpzGzmAudoI6VHBgA,beatlesque
1027,spotify:track:2wzsjDlpb7IomJrFweCDKQ,classic garage rock
1028,spotify:track:3AXDLGI5TIYi72JcYFvNpv,bubblegum pop
1029,spotify:track:4CeMCGrUZByXsrPUV7Qzsu,album rock
1030,spotify:track:3QzPRTZ6hocM2nTZYkdIq7,british invasion
1031,spotify:track:7N3UAu6FkwdBg9J7OONBBP,classic girl group
1032,spotify:track:1hES47PrbU8GPTI5A9lsr0,classic soul
1033,spotify:track:533yUtsvWXcOI5onoOzag4,sunshine pop
1034,spotify:track:4uVFUMQ8WZyhpePcAD533r,album rock
1035,spotify:track:3Am0IbOxmvlSXro7N5iSfZ,beatlesque
1036,spotify:track:6IrBgAF2nSiwrdbIcaCKnp,adult standards
1037,spotify:track:2YuIyYri67bgUXKQW5V9XW,southern soul
1038,spotify:track:2FDEHIMkjxFLzj688M2I3h,beatlesque
1039,spotify:track:774ZoGBhlMSZd7nI2zojbc,classic soul
1040,spotify:track:0iDVwhenUOD6RLWxadsPWk,british invasion
1041,spotify:track:2lZGrNrOHZQCQrE39xYpyE,high vibe
1042,spotify:track:5DcB4bQNmczM5QXxvVoWtc,album rock
1043,spotify:track:7icAxA2OdUnNH85m1MlL0B,british blues
1044,spotify:track:7s25THrKz86DM225dOYwnr,classic soul
1045,spotify:track:3c2kMiSB86tVq1J4oULmvL,bubblegum pop
1046,spotify:track:0McquIDG7V5E6biGOsal0T,bubblegum pop
1047,spotify:track:1kJ2VFimNH9RYxloaXNWde,adult standards
1048,spotify:track:0AA6HF90AGlS4KhUfJH74f,bubblegum pop
1049,spotify:track:4uGIJG1jYFonGc4LGp5uQL,acid rock
1050,spotify:track:6hB3S9Soxx8owlTO8ETvhF,karaoke
1051,spotify:track:6mdLen2d7jtAzDig0GgKKA,memphis soul
1052,spotify:track:2pfEVSZdq5McocgAYWhgLu,classic rock
1053,spotify:track:28DmQwWGctmkziuiuTqFBK,bubblegum pop
1054,spotify:track:1lHiKWnlJtjzA4vHnjAr39,bubblegum pop
1055,spotify:track:4jKq3767lb2mWKCvas6E7Z,beatlesque
1056,spotify:track:42ccaJliexMY66rWpnaGId,sunshine pop
1057,spotify:track:4UteAW3ZmZaB2Ru3FjB0dp,bubblegum pop
1058,spotify:track:1MpmApLaUCZiWPH7gLOepR,canadian pop
1059,spotify:track:77qBwefBIdzymXNCuAI8YX,
1060,spotify:track:3qJNET28K4lvU4u8SLVXhM,
1061,spotify:track:3unFRYDotoc1a2vR08T4yN,
1062,spotify:track:3JdToGxgvH9SnO1a605Ztr,adult standards
1063,spotify:track:3iUS3lyN8xZZxDNxMIZmw6,bubblegum pop
1064,spotify:track:5uvosCdMlFdTXhoazkTI5R,acid rock
1065,spotify:track:78ZqE2tjAxbqEGGlvGnQfT,album rock
1066,spotify:track:5eeZr5k6eprE1NToNTZuxs,adult standards
1067,spotify:track:2aCKBrLn7rbhStk5k4FwnF,motown
1068,spotify:track:68BTFws92cRztMS1oQ7Ewj,beatlesque
1069,spotify:track:1MiJfOXSXATS1cEEZA1wgj,bubblegum pop
1070,spotify:track:4vpeKl0vMGdAXpZiQB2Dtd,acid rock
1071,spotify:track:2HqB3VSdiYmDkTTCPzVHOf,album rock
1072,spotify:track:79d9LM5k2QfpkWYKVRe1fR,bubblegum pop
1073,spotify:track:0KHLV5TPrJBlOjBWdFwZYB,nashville sound
1074,spotify:track:0tY6WuVkmCth6YHl8xKrew,beatlesque
1075,spotify:track:3qBpDQkqa9VPuxa7oRIeff,lounge
1076,spotify:track:7gen818QlnY5REVx0D70mZ,bubblegum pop
1077,spotify:track:4FdDorlbJTVHcH3djLbIfn,
1078,spotify:track:4yChgYDVcQrAgIEIErW27b,classic girl group
1079,spotify:track:56syoOlt0eFhDd26cPSoee,adult standards
1080,spotify:track:5liSqIuo993Rj1ayyqQqAw,classic soul
1081,spotify:track:6RJK553YhstRzyKA4mug09,bubblegum pop
1082,spotify:track:26H1cVKMSSg12mKF1vjrAy,contemporary jazz
1083,spotify:track:1m1UTLYGCzEciEdSfpK1Yu,philly soul
1084,spotify:track:7g0XgioAO3q8iBUQNoEAye,british blues
1085,spotify:track:1W1UXenCENmHJUlE3l1wBZ,motown
1086,spotify:track:1JFfCawXkvyuX7xpFslcGe,album rock
1087,spotify:track:3yrSvpt2l1xhsV9Em88Pul,classic rock
1088,spotify:track:3lBEmzljJyCXx0aK94ALK7,adult standards
1089,spotify:track:32ssNweOtmacNBEC2kHzA8,bubblegum pop
1090,spotify:track:5qyq1H5OPMlfuvZQ1wQNo7,chicago soul
1091,spotify:track:4NnhLA66RRLXxKbiiscU9R,bubblegum pop
1092,spotify:track:1h4XVjt26ZCDKmeEoHxT07,souldies
1093,spotify:track:0gBFr7N2D1GfhkXIIepIGG,british invasion
1094,spotify:track:6XQZ6hb6ynQafnlSA0JSH4,american folk revival
1095,spotify:track:4Kj7BJGxHXqNiAGXVD2xAH,classic soul
1096,spotify:track:5R5etR7RqxzuhZD5URAn2L,album rock
1097,spotify:track:4eGHlplaq1ME8oetnTuFFf,classic soul
1098,spotify:track:0TepCB1npldYLV9vWk8L2F,
1099,spotify:track:5BklSzHGznyYMUN52AClsx,
1100,spotify:track:7Bizf3PgirXJhkSTgyjUWC,classic soul
1101,spotify:track:16iApoNZYaN6gbMtRRVV6B,classic garage rock
1102,spotify:track:5K09WxKdlkroDyEVyOSySy,classic soul
1103,spotify:track:5Ozv6hQIj20iX3nFfJCe8E,bubblegum pop
1104,spotify:track:1lcUS7v5FdoVfx7aEjhjig,adult standards
1105,spotify:track:43deBIFPPZo1lO18ll67Wy,chicago soul
1106,spotify:track:02wTC5WRABLWzdb8PZJPDV,art rock
1107,spotify:track:1Jmqubf9kGkWeYQXQKImL5,acid rock
1108,spotify:track:4SuPDwNadgf6fdw8v3FW5x,memphis soul
1109,spotify:track:7uEcCGtM1FBBGIhPozhJjv,album rock
1110,spotify:track:05XkMS2YVNfPNXepMScPRJ,adult standards
1111,spotify:track:1aRrJewQmqU3wMUf86VVc6,classic soul
1112,spotify:track:6Hd8mrDwBQ8rLo70FwFG5C,classic soul
1113,spotify:track:0vZ97gHhemKm6c64hTfJNA,beatlesque
1114,spotify:track:3215kcniU6gv7FdOXefhom,classic girl group
1115,spotify:track:0vi7ozUKrpaECgVAt2qOTC,
1116,spotify:track:33YKKW1MaDUwq7GDw3WOqR,disco
1117,spotify:track:09v2waPISsO1PZR36VEzpQ,dance pop
1118,spotify:track:2gciyJOs53AUEWbvErQUzY,philly soul
1119,spotify:track:7B9F9nLxe7MZgZ68Jj86Fn,album rock
1120,spotify:track:6NPnloNwBbMtQ2STiF0uUC,philly soul
1121,spotify:track:2aLQuwrWROxyXcquLUtLRo,
1122,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,dance pop
1123,spotify:track:2oZmMp5M6L0Rh7G84Um2tF,classic soul
1124,spotify:track:1WkYJqmW5MVNPF8YPt448h,
1125,spotify:track:69gTnRx9jt23FdlaHlg2Sn,northern soul
1126,spotify:track:3YGuismm9qnCaEfUkD8uQA,classic girl group
1127,spotify:track:240FNg8tSGXr9OGswVMuO6,bubblegum pop
1128,spotify:track:0EkQJ7hHSnnMDXjYbn42Jh,classic soul
1129,spotify:track:1yfHCiyxfm3XlKpFj5zsJU,bubblegum pop
1130,spotify:track:0XLXN9FPQIOl9v7J4TrrF5,adult standards
1131,spotify:track:5z4iT44mMHyZozsTFy4A51,bubblegum pop
1132,spotify:track:1tjpccwiGZTMDfHr5VGCmT,memphis soul
1133,spotify:track:1nQQ69Je9pPSF6cjqr6dsZ,adult standards
1134,spotify:track:4QkvD53COA5qLA7rQ1Pa7D,classic garage rock
1135,spotify:track:2Z8FsPTnN8s9Dtguvqspca,bubblegum pop
1136,spotify:track:3kPzrQDkZmKC3Hu3fZsBpR,bubblegum pop
1137,spotify:track:2ChhVPnOgHV9UmSuso8S9v,bubblegum pop
1138,spotify:track:1MaNlzGKV2MSAxFYbfsX7n,surf music
1139,spotify:track:021O8Fvrww2EJB8220tgXo,adult standards
1140,spotify:track:3zBhihYUHBmGd2bcQIobrF,classic soul
1141,spotify:track:2TdhHtNXvGwbVSkZSQ5Olt,bubblegum pop
1142,spotify:track:4Wrc3Jz4POj0ibPj5iuq0r,
1143,spotify:track:7h5mrcoymubXxvgTBO7a1x,classic soul
1144,spotify:track:7g0WpDuOX4hxBKCsoitOXn,bubblegum pop
1145,spotify:track:4LcRY96OlLca0bcUZcTStU,classic soul
1146,spotify:track:5RcIofhXhi7CTrmNXCOn4G,classic soul
1147,spotify:track:4a9cvUCsCIpjwsdanrWl5t,classic soul
1148,spotify:track:6s10XyfYy0X2vQrPAnJ2lh,adult standards
1149,spotify:track:2U1nVCTFKFdieTPTg3VrvY,album rock
1150,spotify:track:3lrSnngQqNWgvQmcFbCJCx,classic soul
1151,spotify:track:6e5dOtgCiKkITJxtWSuLBE,bubblegum pop
1152,spotify:track:1raiIrqaqRAqZmQWZlLuBd,beatlesque
1153,spotify:track:1C2K7ouw8OYXVThAnSXID9,british blues
1154,spotify:track:2Qhvi6R73Zj3cpzRYzcAww,adult standards
1155,spotify:track:4M1su6qn7t5FnyMukpCGzK,classic rock
1156,spotify:track:3g2fYZW5v2od8KIF7VktT0,classic rock
1157,spotify:track:1MQWtVcs0PKsY4PA6ZvLiy,classic soul
1158,spotify:track:5V6ys84KzwWNAnVY3xyzBE,adult standards
1159,spotify:track:6IIcvtmuGpWIasqOpyGlyY,classic soul
1160,spotify:track:0BAHLHtovypNchYFyfHMIG,motown
1161,spotify:track:6n3WVi0pxFQuAjAQRPPryY,classic soul
1162,spotify:track:3eNGdIH7IjPtnEm5BZPFBP,old west
1163,spotify:track:3QwbKe0s8TcNclzXAXHeHy,
1164,spotify:track:6HvRHu2HtWgE720gG5v3wE,canadian celtic
1165,spotify:track:0SmI8EB25nrjJO8oj05iKo,classic soul
1166,spotify:track:5UgzlDrLBJj9qIjSXdU0Yj,classic soul
1167,spotify:track:7J8A3XOuGFnGheoSsHUXC8,acid rock
1168,spotify:track:0iOZM63lendWRTTeKhZBSC,classic rock
1169,spotify:track:5hffP5gJFe1zByXf7BIeYq,easy listening
1170,spotify:track:23xk9Rf7oIHVUU1JvmXYFn,bubblegum pop
1171,spotify:track:6WvbMOjKf5y3CAHn4ubwlp,bubblegum pop
1172,spotify:track:5DBEFajBEaHgbbwe7oN0KP,
1173,spotify:track:4yQw7FR9lcvL6RHtegbJBh,classic soul
1174,spotify:track:6rKOW7J4rmlOijmfgrKML2,modern funk
1175,spotify:track:6QeXqr6JQInV8Q8WDndmBn,
1176,spotify:track:27QxL30kLR6RyIjLXCMFdU,
1177,spotify:track:2v8B8d17Xxu9uLU5sNiHSL,adult standards
1178,spotify:track:1jq28NGw6wdtFKx8MBPy6C,alternative metal
1179,spotify:track:1uBsu3PbD2909UBIfEMLvK,album rock
1180,spotify:track:2P6Buc8kWRgShx7aHIadqu,afropop
1181,spotify:track:1wXUeV5w6MkRFwMZu060U9,adult standards
1182,spotify:track:3zOSgkGkNBQE5V0pieRddw,classic soul
1183,spotify:track:3DrlHWCoFqHQYGwE8MWsuv,
1184,spotify:track:5JaN7UNzRF91yL5cpFrOPF,bubblegum pop
1185,spotify:track:3bWGaqVeYKMlLss40mPgNn,acid rock
1186,spotify:track:4DK3JpX2NkEMhCnltUEvUg,
1187,spotify:track:23OBcAyQonpaJ2XswR0k1I,adult standards
1188,spotify:track:5tUEIByLWg1sYWajZ2x5zx,
1189,spotify:track:7AL6qzIDHIX7pEUWrzNiIs,british folk
1190,spotify:track:6w8Pnj2aUSJysc0b5FSJyr,bubblegum pop
1191,spotify:track:2K2M0TcglCRLLpFOzKeFZA,album rock
1192,spotify:track:3lN8PP6R2IxbLP05QpYXng,acid rock
1193,spotify:track:6oavqtFYgu0Zdpgesza6f4,chicago soul
1194,spotify:track:5iRnkIAcHpbAlygyHwPSzG,
1195,spotify:track:2qCIeXERk1vrCZDafVnJEB,karaoke
1196,spotify:track:2wWdwNwfYiI7bSCGYtq0Un,latin pop
1197,spotify:track:2sZIclzhHlH8tzf7wry9hK,classic country pop
1198,spotify:track:3lrjV9Albm8n8mIiMssYV1,classic soul
1199,spotify:track:4fnvjQXs8y18X8br917ohs,bubblegum pop
1200,spotify:track:4Obsf07AjqKF26yM7aMfiX,
1201,spotify:track:3evKZi4dI9Nw7Hit26XFN9,classic soul
1202,spotify:track:4sTUkIe8cha0RCcTKvfc2J,album rock
1203,spotify:track:51sulFzBlSrbU1G2IAbfgV,chicago soul
1204,spotify:track:0aym2LBJBk9DAYuHHutrIl,beatlesque
1205,spotify:track:1wVBq2SkE1AOKoaOxUVvDC,
1206,spotify:track:2nuMRtlTTp6hwPOsRsBu7n,beach music
1207,spotify:track:4hFijVSyGeulZaLRJSGU5G,beach music
1208,spotify:track:7r3Hwig1mvtlVq0ZbJ09Wb,soul
1209,spotify:track:55gWB0E5fwsIVfdGfrydoi,soft rock
1210,spotify:track:3NfxSdJnVdon1axzloJgba,classic soul
1211,spotify:track:5qA1ZrjjVLh1cL9GZOFdNm,psychedelic soul
1212,spotify:track:3UDmHZcBTQp8Iu8droNtUl,beatlesque
1213,spotify:track:7384ZImepcCLSwbxmX1D2T,
1214,spotify:track:1j60XO9cZ0MQSZ3qo6Ts9S,funk
1215,spotify:track:6QOg1CWFpLAsIK7I54JX4G,classic uk pop
1216,spotify:track:69EILuL34ggLWQsa626bes,classic girl group
1217,spotify:track:1c9Ey76VT5nKwqj0s3J5E7,
1218,spotify:track:3Xls4cNOwy01dtrNXb1inG,album rock
1219,spotify:track:4c4jJJoaiY21t2TyRZgdWS,acid rock
1220,spotify:track:4DWFSrNnZXow1aB96gByho,bubblegum pop
1221,spotify:track:0Q1perOt9SEwRUp6cHglrC,bubblegum pop
1222,spotify:track:5os6Tl9oaIR65Ae93UY9aa,adult standards
1223,spotify:track:1xKQbqQtQWrtQS47fUJBtl,blues rock
1224,spotify:track:1WdWoxJeQxf8XeztgklB7t,adult standards
1225,spotify:track:03Ijs3mrUc14kmuiFa34VY,spanish synthpop
1226,spotify:track:4kP69y3GKHi9tXckfgp4bK,motown
1227,spotify:track:1tqT6DhmsrtQgyCKUwotiw,classic soul
1228,spotify:track:2DxX9x7Cmywikp14l1YUdk,memphis soul
1229,spotify:track:41tl6xfIKib7fexaHudvV0,doo-wop
1230,spotify:track:6V9VCm1zOY2lGR80RehJ9i,adult standards
1231,spotify:track:2FJbY6XaLqldFBHZPZErlj,
1232,spotify:track:6wceQSqQDvdcw0cMNKdp7s,adult standards
1233,spotify:track:2xSfwtV4mUr2h63Q1zJH58,american folk revival
1234,spotify:track:1A8gqfrso63AC4XVW6DTTw,memphis soul
1235,spotify:track:1uu0es5Bu7orSWkqS5rXp7,alternative country
1236,spotify:track:6v8mOtpRlXbG3BOauqPRHC,instrumental soul
1237,spotify:track:75HYhujFXgY5ugYwT1azLC,adult standards
1238,spotify:track:5D8GyDQid3v34iPeIHcfS4,
1239,spotify:track:2cGOGVV115VFgJrF3QTO20,soul
1240,spotify:track:1SDruM7epfWOMCWW4ktHtw,classic venezuelan pop
1241,spotify:track:3iltRlox3jEeSKuqdW88EK,blues
1242,spotify:track:1qTfHUVPsZTnrmvwQrAQdW,bubblegum pop
1243,spotify:track:4ZVZBc5xvMyV3WzWktn8i7,classic soul
1244,spotify:track:78OJTuCxtTxNP52dDprvDZ,
1245,spotify:track:4BVE5tIIpYabZcYCbephNW,acid rock
1246,spotify:track:4eGlvsFXmFqdJrVXe9FbgD,bubblegum pop
1247,spotify:track:36CKza28wMxYdjdzji7ine,disco
1248,spotify:track:3OVaMHQ2bj8KHabuF8deFv,blues
1249,spotify:track:0zyyaMpWRZNSx2GqAMFKX3,chicago soul
1250,spotify:track:3C6pSIVeBKIbSpCFtaw1r8,rock-and-roll
1251,spotify:track:74i6ZrnR1WzZsuc3qrJg7I,bubblegum pop
1252,spotify:track:7j1ABZOylWUPUIZTt5x6AL,bubblegum pop
1253,spotify:track:6pxWv6GV35VGmcPf5dh6CH,classic rock
1254,spotify:track:5LvIl1VHaqtCJJXwrB8QR9,bubblegum pop
1255,spotify:track:5kYMMNGEZDfVZZiAAmP0y2,adult standards
1256,spotify:track:5kJpLI5axvOQbGt0x4Nsko,classic soul
1257,spotify:track:6AlRiYSieZSkMPCD22dlvp,bubblegum pop
1258,spotify:track:65N0rMxfSDibEQK5b6pos4,show tunes
1259,spotify:track:3PbgV4gC1U1we6i0PaF22v,memphis soul
1260,spotify:track:50t8gshcAtXiUdk7nHfYDp,bubblegum pop
1261,spotify:track:5hyinpdAW0ov09P4Q2cert,funk
1262,spotify:track:0HZlND4giwzgolBpaNIRGV,adult standards
1263,spotify:track:6hleUCx3E4gB2urwRvx1QT,baroque pop
1264,spotify:track:04enwmWRbJy25k16nU19EV,classic soul
1265,spotify:track:7GCNh1ibQiae8aimaEUOFq,adult standards
1266,spotify:track:18ioNuCtc4kyQl8VSc58e2,chicago soul
1267,spotify:track:4yBvtBvzuu7qprVBgmt9Op,
1268,spotify:track:09VbZ87CD4kGyQ9QBrnziC,classic soul
1269,spotify:track:4MhaifZyR0ojpjv80l54qQ,acid rock
1270,spotify:track:0vstoapfzoOlqD8zurG2uJ,classic soul
1271,spotify:track:3ZxfehzRtB3oJcBuxWXFZQ,classic soul
1272,spotify:track:0pRiJigrJnUgN5xGkCvNqU,acid rock
1273,spotify:track:5pjlEqTAOq1snQlcSMgF14,bubblegum pop
1274,spotify:track:3UUwbJd2j4RORlalTUhaDk,surf music
1275,spotify:track:3XOVanRi3prWDEZQiZTlYx,blues
1276,spotify:track:1iesv8xiE4cgtssvBUBM4K,bubblegum pop
1277,spotify:track:76TZCvJ8GitQ2FA1q5dKu0,classic rock
1278,spotify:track:0kcEK7YuNNfE7jiTnXS1cm,british folk
1279,spotify:track:5YqltLsjdqFtvqE7Nrysvs,pop
1280,spotify:track:7DeAxFh0hdupc0nzzM3jAa,
1281,spotify:track:20uuYKrBuh81J8T9fkm2sC,bubblegum pop
1282,spotify:track:5lEyMg4GNKnMbaarvT4sRd,album rock
1283,spotify:track:3ouh6oB7IGqP2HVFCVFpLj,philly soul
1284,spotify:track:755QPhAgO1YSmbs8a9M9b9,classic soul
1285,spotify:track:34yIb7hw5SuR80au1BHTtt,
1286,spotify:track:20OFwXhEXf12DzwXmaV7fj,classic rock
1287,spotify:track:7KWoeBqSdZHEloYKVxssfG,rock-and-roll
1288,spotify:track:0oFkaYVT0tVb9v5sOaMvJv,adult standards
1289,spotify:track:0EQCaQzKJVCXkwSiQZUVHP,classic soul
1290,spotify:track:0iE8CuhrbtabeFRnrQYmZP,classic country pop
1291,spotify:track:4ME2YQNThxEW63fxojzHvN,album rock
1292,spotify:track:4UOWkmOtb3DgMaSmI8rTaC,
1293,spotify:track:0spSRHFS4zF4Imvz9sJcfL,album rock
1294,spotify:track:0XoTz3HTFkhyji6BHGkjNF,
1295,spotify:track:0aD8W0ChzDgEKpB1zsJ8zv,bubblegum pop
1296,spotify:track:5UVsbUV0Kh033cqsZ5sLQi,
1297,spotify:track:4qlk1U68B90hEi37NvCJRK,
1298,spotify:track:1F7s27lLKshLPt9TPCgMDL,beatlesque
1299,spotify:track:0I1M0ETI5gHAHe2dwrdrlm,
1300,spotify:track:0RiZIzLmDd7a8pUzcOJOeY,classic soul
1301,spotify:track:5dClbtFrsEtU363gpPwX2I,adult standards
1302,spotify:track:3fnPv1LRMxENr63afVhaz1,album rock
1303,spotify:track:54ihLjWfDZ0hOsokyiScT6,classic soul
1304,spotify:track:5fXjKHiDTgrovkagABJqU1,psychedelic rock
1305,spotify:track:5xMNjx7uqCzMpJZSo4Wq55,arkansas country
1306,spotify:track:5ZoDwIP1ntHwciLjydJ8X2,motown
1307,spotify:track:7MUO4NG8cNjTEQlANYwmoU,brill building pop
1308,spotify:track:3z2ZSQZXaWAufdyv3xnuLe,bubblegum pop
1309,spotify:track:0GkUyetx2PbJONI4rusNmA,
1310,spotify:track:0jtz7Ia3HahOqXWnKad0rn,louisiana blues
1311,spotify:track:6MTd61g9zq6CB1FnJydjEb,bubblegum pop
1312,spotify:track:11DjZQEZ69EXLo77HVj6yW,classic rock
1313,spotify:track:7CQXyFX44CXmnuq8Bi9Dyc,blues rock
1314,spotify:track:4uYwlMp841PLJmj1gJJwIq,classic rock
1315,spotify:track:0MNLIgIY9cW7N2rhvx8W9b,album rock
1316,spotify:track:57q7PGonVDvp3xhS9cyvb9,focus beats
1317,spotify:track:6aL6pPBaTMGgM558mplSnj,memphis soul
1318,spotify:track:4KhuernnobE4BzS0P1Viz8,album rock
1319,spotify:track:4iwGGmK8zlbcgkUymPNTVc,beatlesque
1320,spotify:track:63ab3tF9sxQl9zXqnDI5Yk,adult standards
1321,spotify:track:2cjoDBTUi9FO103xhAU6Tk,
1322,spotify:track:7eCHZeIm2SxGEJkGEggstN,bubblegum pop
1323,spotify:track:1jcPcDu2YawPfLhwjYnqK2,classic rock
1324,spotify:track:4t6NQkpUmvpvLDCkl3XuwA,classic soul
1325,spotify:track:2ht21Rlf8L6cPLBkYmhpcs,chicago soul
1326,spotify:track:7yb5YXwYcOVw6yzOLetcL1,adult standards
1327,spotify:track:1H5IfYyIIAlgDX8zguUzns,rock-and-roll
1328,spotify:track:51ePCpO1xUeHYhvgT67YPX,classic soul
1329,spotify:track:0bzNvVatHKKtAudmRvar8J,adult standards
1330,spotify:track:1aIh8C6OpXxOdM4pJatdIW,
1331,spotify:track:1p1SbqeipOd4ezKUpxqaz6,pop
1332,spotify:track:7kDPwGDjxDBONlPpkc1p77,album rock
1333,spotify:track:0pNeVovbiZHkulpGeOx1Gj,beatlesque
1334,spotify:track:5bxvr2wf7uSRa9BTKKengM,
1335,spotify:track:0TLD1RLFqPmpVR5ATWdMz6,adult standards
1336,spotify:track:0NnpGlsfv7Jghg7fKfOF9c,
1337,spotify:track:5gUk26spbkbYgXmDTMbW3C,classic soul
1338,spotify:track:5xMLcSEstX1jN4arpNXqtX,
1339,spotify:track:6ZSTinOwx5dKFYc6iYyGDn,american folk revival
1340,spotify:track:70V9otkdkxxiRjrdiHk6CO,
1341,spotify:track:0l9RGwc48deJ6j61KXAAvs,motown
1342,spotify:track:79Yk6AlSKi5dxDFINID2hS,classic girl group
1343,spotify:track:2clEJgdfdimThOKib9N9ZM,album rock
1344,spotify:track:6rCVaWvrLlPNiIIhR2N6p2,chicago soul
1345,spotify:track:1oOnOS4xNZOMpCT0lKTNo2,adult standards
1346,spotify:track:7vI2UMCyF56ZNDbVZmKiJ2,classic soul
1347,spotify:track:2u0kV66s6u9OAVP6PtBf2f,bubblegum pop
1348,spotify:track:5LxvwujISqiB8vpRYv887S,motown
1349,spotify:track:0hCB0YR03f6AmQaHbwWDe8,album rock
1350,spotify:track:7rlqg7deruQkmEEoQp5odP,karaoke
1351,spotify:track:7AZJqLdDI22YvziojIveKg,bubblegum pop
1352,spotify:track:4mBuXy2y0frBrt8qTiP0mY,bubblegum pop
1353,spotify:track:3Lr0qN5Q92L907vO0y0pMM,
1354,spotify:track:4GiuUAHJfo26cx0X0JUf2R,adult standards
1355,spotify:track:4ckfvcIvWpMySBbpW66Uvd,bubblegum pop
1356,spotify:track:2dGuZfQKTCZnNdcP2ztcFs,rock-and-roll
1357,spotify:track:1MI8aQJAoaYhIaVNz5giKB,classic soul
1358,spotify:track:29HbvYjzl95cYA4wGIhFCd,album rock
1359,spotify:track:5kx4xMErn45NZvEChKiqdo,memphis soul
1360,spotify:track:2RtmMC4btQbvQ9w5KxPZpy,bubblegum pop
