,uri,genres
4000,spotify:track:5NaOWLOmVjcA3M5spRATN9,dance pop
4001,spotify:track:3ozomn4PrGEKEuusxX2HpC,canadian pop
4002,spotify:track:3TS25nchaYIPb2Y2fw6cbb,contemporary r&b
4003,spotify:track:5YScXJKtefsgdskIy60N7A,anarcho-punk
4004,spotify:track:5otUV0LUycAHXqGVz8bZY0,contemporary r&b
4005,spotify:track:6PyLw3l6ndolBrTPQp3Ibm,contemporary r&b
4006,spotify:track:7hfRrdFJgFKK3cJ4rmkecE,contemporary r&b
4007,spotify:track:5MDQNJ7SZTytJwCbWKqJDL,ectofolk
4008,spotify:track:6SluaPiV04KOaRTOIScoff,dance pop
4009,spotify:track:6ZIuoDs3i1KjKurJf9miSs,boy band
4010,spotify:track:08bn759cPYICtUPoYx29P0,dance pop
4011,spotify:track:35EhXVNa2anqUwo3xl8yBU,dance pop
4012,spotify:track:013AWvizllIUEC2FOBzOnh,boy band
4013,spotify:track:6FuJokk9FHx0E00SZ8ib8X,boy band
4014,spotify:track:4oJEy4qDPwDk5ac26yEMeL,contemporary r&b
4015,spotify:track:5L0KDoZklMgs9GPoonneEl,atl hip hop
4016,spotify:track:2cZuNzaAGNFozlZTxSDU1g,east coast hip hop
4017,spotify:track:3Uvx1TO0Kg5HgGPk58lHXv,alternative metal
4018,spotify:track:33LC84JgLvK2KuW43MfaNq,canadian pop
4019,spotify:track:0weAUscowxeqDtpCgtbpgp,hip hop
4020,spotify:track:5kHgrRO3hMDPehtH9VhYQc,dance pop
4021,spotify:track:2IObe2lNB04HPbFfsSQ89f,atlanta bass
4022,spotify:track:1GwMQaZz6Au3QLDbjbMdme,pop
4023,spotify:track:1RQnYh2xw2BPpnzQFbO5r5,dance pop
4024,spotify:track:0jOXmNowR2j1hVpZMqnz9P,rap kreyol
4025,spotify:track:6dLujFTBvLRnr8zPMMVUJg,bronx hip hop
4026,spotify:track:5GorFaKkP2mLREQvhSblIg,contemporary r&b
4027,spotify:track:6lknMmJZALXxx7emwwZWLX,dance pop
4028,spotify:track:0sKJExQWRKxd76gSSwrsaI,cali rap
4029,spotify:track:5IFCyWplye09HytIP80RCF,boy band
4030,spotify:track:57iDDD9N9tTWe75x6qhStw,britpop
4031,spotify:track:3EdakRU1Y7pc8QXcON3vlz,contemporary r&b
4032,spotify:track:1VyA8mbSyXOdJx2lguR8Uu,
4033,spotify:track:3RSpK5Y0y5tl25qvssrwJ6,dance pop
4034,spotify:track:7L3D42GR3ZdROSC554hY3l,classify
4035,spotify:track:4rTeOSYqwXNz5qPR2DUTFZ,boy band
4036,spotify:track:0Cwn4fq9ysV0PsfSew34bp,east coast hip hop
4037,spotify:track:4Wtk0YYWUcx1JYicaq5Jd0,contemporary r&b
