,uri,features
4000,spotify:track:5NaOWLOmVjcA3M5spRATN9,"{'danceability': 0.694, 'energy': 0.824, 'key': 1, 'loudness': -6.756, 'mode': 1, 'speechiness': 0.0909, 'acousticness': 0.119, 'instrumentalness': 7.15e-06, 'liveness': 0.152, 'valence': 0.675, 'tempo': 95.833, 'type': 'audio_features', 'id': '5NaOWLOmVjcA3M5spRATN9', 'uri': 'spotify:track:5NaOWLOmVjcA3M5spRATN9', 'track_href': 'https://api.spotify.com/v1/tracks/5NaOWLOmVjcA3M5spRATN9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5NaOWLOmVjcA3M5spRATN9', 'duration_ms': 299827, 'time_signature': 4}"
4001,spotify:track:3ozomn4PrGEKEuusxX2HpC,"{'danceability': 0.505, 'energy': 0.518, 'key': 2, 'loudness': -8.601, 'mode': 1, 'speechiness': 0.023, 'acousticness': 0.403, 'instrumentalness': 0, 'liveness': 0.129, 'valence': 0.472, 'tempo': 81.019, 'type': 'audio_features', 'id': '3ozomn4PrGEKEuusxX2HpC', 'uri': 'spotify:track:3ozomn4PrGEKEuusxX2HpC', 'track_href': 'https://api.spotify.com/v1/tracks/3ozomn4PrGEKEuusxX2HpC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3ozomn4PrGEKEuusxX2HpC', 'duration_ms': 247307, 'time_signature': 4}"
4002,spotify:track:3TS25nchaYIPb2Y2fw6cbb,"{'danceability': 0.779, 'energy': 0.715, 'key': 2, 'loudness': -5.886, 'mode': 0, 'speechiness': 0.0368, 'acousticness': 0.297, 'instrumentalness': 0, 'liveness': 0.157, 'valence': 0.621, 'tempo': 126.036, 'type': 'audio_features', 'id': '3TS25nchaYIPb2Y2fw6cbb', 'uri': 'spotify:track:3TS25nchaYIPb2Y2fw6cbb', 'track_href': 'https://api.spotify.com/v1/tracks/3TS25nchaYIPb2Y2fw6cbb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3TS25nchaYIPb2Y2fw6cbb', 'duration_ms': 281747, 'time_signature': 4}"
4003,spotify:track:5YScXJKtefsgdskIy60N7A,"{'danceability': 0.263, 'energy': 0.871, 'key': 2, 'loudness': -7.496, 'mode': 1, 'speechiness': 0.131, 'acousticness': 0.106, 'instrumentalness': 0, 'liveness': 0.363, 'valence': 0.622, 'tempo': 206.68, 'type': 'audio_features', 'id': '5YScXJKtefsgdskIy60N7A', 'uri': 'spotify:track:5YScXJKtefsgdskIy60N7A', 'track_href': 'https://api.spotify.com/v1/tracks/5YScXJKtefsgdskIy60N7A', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5YScXJKtefsgdskIy60N7A', 'duration_ms': 278960, 'time_signature': 4}"
4004,spotify:track:5otUV0LUycAHXqGVz8bZY0,"{'danceability': 0.702, 'energy': 0.493, 'key': 7, 'loudness': -7.631, 'mode': 1, 'speechiness': 0.041, 'acousticness': 0.399, 'instrumentalness': 0, 'liveness': 0.112, 'valence': 0.333, 'tempo': 125.389, 'type': 'audio_features', 'id': '5otUV0LUycAHXqGVz8bZY0', 'uri': 'spotify:track:5otUV0LUycAHXqGVz8bZY0', 'track_href': 'https://api.spotify.com/v1/tracks/5otUV0LUycAHXqGVz8bZY0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5otUV0LUycAHXqGVz8bZY0', 'duration_ms': 270933, 'time_signature': 4}"
4005,spotify:track:6PyLw3l6ndolBrTPQp3Ibm,"{'danceability': 0.721, 'energy': 0.431, 'key': 1, 'loudness': -6.633, 'mode': 1, 'speechiness': 0.045, 'acousticness': 0.244, 'instrumentalness': 0, 'liveness': 0.0886, 'valence': 0.318, 'tempo': 119.76, 'type': 'audio_features', 'id': '6PyLw3l6ndolBrTPQp3Ibm', 'uri': 'spotify:track:6PyLw3l6ndolBrTPQp3Ibm', 'track_href': 'https://api.spotify.com/v1/tracks/6PyLw3l6ndolBrTPQp3Ibm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6PyLw3l6ndolBrTPQp3Ibm', 'duration_ms': 247133, 'time_signature': 4}"
4006,spotify:track:7hfRrdFJgFKK3cJ4rmkecE,"{'danceability': 0.821, 'energy': 0.703, 'key': 11, 'loudness': -8.464, 'mode': 0, 'speechiness': 0.24, 'acousticness': 0.192, 'instrumentalness': 0, 'liveness': 0.0816, 'valence': 0.536, 'tempo': 105.154, 'type': 'audio_features', 'id': '7hfRrdFJgFKK3cJ4rmkecE', 'uri': 'spotify:track:7hfRrdFJgFKK3cJ4rmkecE', 'track_href': 'https://api.spotify.com/v1/tracks/7hfRrdFJgFKK3cJ4rmkecE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7hfRrdFJgFKK3cJ4rmkecE', 'duration_ms': 203627, 'time_signature': 4}"
4007,spotify:track:5MDQNJ7SZTytJwCbWKqJDL,"{'danceability': 0.41, 'energy': 0.468, 'key': 11, 'loudness': -8.177, 'mode': 1, 'speechiness': 0.0553, 'acousticness': 0.298, 'instrumentalness': 1.19e-05, 'liveness': 0.0426, 'valence': 0.475, 'tempo': 177.508, 'type': 'audio_features', 'id': '5MDQNJ7SZTytJwCbWKqJDL', 'uri': 'spotify:track:5MDQNJ7SZTytJwCbWKqJDL', 'track_href': 'https://api.spotify.com/v1/tracks/5MDQNJ7SZTytJwCbWKqJDL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5MDQNJ7SZTytJwCbWKqJDL', 'duration_ms': 320027, 'time_signature': 4}"
4008,spotify:track:6SluaPiV04KOaRTOIScoff,"{'danceability': 0.546, 'energy': 0.643, 'key': 6, 'loudness': -4.069, 'mode': 0, 'speechiness': 0.0437, 'acousticness': 0.0745, 'instrumentalness': 0, 'liveness': 0.213, 'valence': 0.704, 'tempo': 181.838, 'type': 'audio_features', 'id': '6SluaPiV04KOaRTOIScoff', 'uri': 'spotify:track:6SluaPiV04KOaRTOIScoff', 'track_href': 'https://api.spotify.com/v1/tracks/6SluaPiV04KOaRTOIScoff', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6SluaPiV04KOaRTOIScoff', 'duration_ms': 229227, 'time_signature': 4}"
4009,spotify:track:6ZIuoDs3i1KjKurJf9miSs,"{'danceability': 0.437, 'energy': 0.723, 'key': 1, 'loudness': -7.013, 'mode': 1, 'speechiness': 0.0471, 'acousticness': 0.0884, 'instrumentalness': 3.91e-05, 'liveness': 0.113, 'valence': 0.344, 'tempo': 139.765, 'type': 'audio_features', 'id': '6ZIuoDs3i1KjKurJf9miSs', 'uri': 'spotify:track:6ZIuoDs3i1KjKurJf9miSs', 'track_href': 'https://api.spotify.com/v1/tracks/6ZIuoDs3i1KjKurJf9miSs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6ZIuoDs3i1KjKurJf9miSs', 'duration_ms': 251293, 'time_signature': 4}"
