,title,artist,peakPos,lastPos,weeks,rank,isNew,date,track_uri
63199,F**k You! (Forget You),CeeLo Green,2,4,31,3,False,2011-04-04,spotify:track:5GvWrvLIqoHroq7YvO260M
63200,Born This Way,Lady Gaga,1,1,7,4,False,2011-04-04,spotify:track:6r2BECwMgEoRb5yLfp0Hca
63201,Just Can't Get Enough,The Black Eyed Peas,5,5,6,5,False,2011-04-04,spotify:track:3irR8u6bJNsyNA6TWlFe0R
63202,No Sleep,Wiz Khalifa,6,0,1,6,True,2011-04-04,spotify:track:2kzRSiyignH8yzPTrWvyPo
63203,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,7,8,8,7,False,2011-04-04,spotify:track:3hsmbFKT5Cujb5GQjqEU39
63204,F**kin' Perfect,P!nk,2,7,13,8,False,2011-04-04,spotify:track:3MGJF1CDFGfjXESL2Heva0
63205,Down On Me,Jeremih Featuring 50 Cent,9,10,20,9,False,2011-04-04,spotify:track:0x3TibRgnSqzkcwrqBd4iX
63206,On The Floor,Jennifer Lopez Featuring Pitbull,5,13,5,10,False,2011-04-04,spotify:track:0w3Q14i073jLoew1hgJkwD
63207,Blow,Ke$ha,7,11,10,11,False,2011-04-04,spotify:track:6OeGJKmvkUbBLeG1DuHiv6
63208,Grenade,Bruno Mars,1,9,26,12,False,2011-04-04,spotify:track:2tJulUYLDKOg9XrtVkMgcJ
63209,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,4,12,18,13,False,2011-04-04,spotify:track:79R98MwYRcQZdAzjjzUbiX
63210,Firework,Katy Perry,1,15,23,14,False,2011-04-04,spotify:track:4r6eNCsrZnQWJzzvFh4nlg
63211,Moment 4 Life,Nicki Minaj Featuring Drake,13,18,15,15,False,2011-04-04,spotify:track:1ia019RqDK2o4QiANR1Dyn
63212,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,7,17,26,16,False,2011-04-04,spotify:track:3rfhI32Il2hVRKDkuGeeen
63213,Rolling In The Deep,Adele,13,26,12,17,False,2011-04-04,spotify:track:1c8gk2PeTE04A1pIDH9YMk
63214,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,11,14,18,18,False,2011-04-04,spotify:track:65GbQI9VDTs7vo6MJL2iJA
63215,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,4,22,8,19,False,2011-04-04,spotify:track:70ATm56tH7OrQ1zurYssz0
63216,More,Usher,15,20,16,20,False,2011-04-04,spotify:track:0aBKFfdyOD1Ttvgv0cfjjJ
63217,Jar Of Hearts,Christina Perri,17,19,26,21,False,2011-04-04,spotify:track:0HZhYMZOcUzZKSFwPOti6m
63218,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,9,23,4,22,False,2011-04-04,spotify:track:38iU2jg98IZZEIJPrP7aWD
63219,What The Hell,Avril Lavigne,11,21,11,23,False,2011-04-04,spotify:track:2z4U9d5OAA4YLNXoCgioxo
63220,Pretty Girl Rock,Keri Hilson,24,27,18,24,False,2011-04-04,spotify:track:2Adn2LNgkHMH5TelQVAu4n
63221,All Of The Lights,Kanye West,25,25,13,25,False,2011-04-04,spotify:track:22L7bfCiAkJo5xGSQgmiIO
63297,E.T.,Katy Perry Featuring Kanye West,1,2,11,1,False,2011-05-04,spotify:track:26OmI3F6zTMFQfpJf9rLvs
