,uri,genres
3000,spotify:track:2VN7uPrbryJ7nE2MXX3f9a,album rock
3001,spotify:track:2OidbJv9f6ODOoTYlp5Lm5,k-pop
3002,spotify:track:5UU5FbITNm5OunvHQdsKME,disco
3003,spotify:track:5tdKaKLnC4SgtDZ6RlWeal,dance pop
3004,spotify:track:5BXj1QDRU77J1ngVavG1tI,album rock
3005,spotify:track:4zpKunH4r2FFnETG9aEhfa,beatlesque
3006,spotify:track:4Y5yjzs9FFw5qIgfZBd43I,funk
3007,spotify:track:3FdHgoJbH3DXNtGLh56pFu,disco
3008,spotify:track:5zSwmohdHeH2xmrWDFZUZZ,motown
3009,spotify:track:0sKfhhj6hYyJIXnTiZV9vf,british soul
3010,spotify:track:6dahFmHrgncgVJjsI1ws7e,heartland rock
3011,spotify:track:0HzjKCZmFhwcO2vnnHpj9q,album rock
3012,spotify:track:22wWxHGHRH8gZXNDXRgSqY,album rock
3013,spotify:track:4nKPgKXfFiPW7cNex5oDtt,contemporary r&b
3014,spotify:track:3xdURkbZ8BrQM33X8Ko4Lg,nerdcore
3015,spotify:track:4m3OS54KWywYhP7WD7z1cg,baroque pop
3016,spotify:track:6zcPWQ6X2LlxLRBK4DGPqH,new romantic
3017,spotify:track:0lqfBvf1Gqmmt3l5Qeirlm,album rock
3018,spotify:track:3G0ENKW9vzV0SuYKaWFflI,glam rock
3019,spotify:track:0DfG1ltJnZyq4Tx3ZLL7ZU,austropop
3020,spotify:track:62LJFaYihsdVrrkgUOJC05,funk
3021,spotify:track:04EnF5C2HvYZfGu64Bng7I,australian rock
3022,spotify:track:00vYs0qZA40Z8AAaN7xmMO,album rock
3023,spotify:track:6eLDMmVI7HF7W56cOrJj00,
3024,spotify:track:5izGeTxueiFX1UPFGohY9w,album rock
3025,spotify:track:6D527hFJzl1vWSzosEbyQk,contemporary r&b
3026,spotify:track:2Di0qFNb7ATroCGB3q0Ka7,art pop
3027,spotify:track:2Qt6mXHybGb8fitLAA97HT,album rock
3028,spotify:track:2StkuotzPgX5FpSjMpTvlw,album rock
3029,spotify:track:6yJxCltgtmGxIgKOS6ndnu,dance pop
3030,spotify:track:0TaT50ZZxT4ytZxuqkE3A9,album rock
3031,spotify:track:2SFq0UIiBWkBgky0fkrHP0,dance pop
3032,spotify:track:0WoFs3EdGOx58yX5BtXvOa,album rock
3033,spotify:track:2s6wCS3vDZFPY9NOTlPXJZ,rock drums
3034,spotify:track:5AM6VOkN7ficA2O04f5JG1,disco
3035,spotify:track:05oFyvdztPdpwSwpoclD4c,new romantic
3036,spotify:track:095MMFhB9qxPx2VsmvjnUs,dance pop
3037,spotify:track:2BOqDYLOJBiMOXShCV1neZ,pop
3038,spotify:track:647q0KZHceDZTyLExHU0ue,freestyle
