,title,artist,peakPos,lastPos,weeks,rank,isNew,date,track_uri
65615,Pour It Up,Rihanna,19,20,12,19,False,2013-04-04,spotify:track:76VtA90NKurNqaQpV126Ue
65616,Don't You Worry Child,Swedish House Mafia Featuring John Martin,6,15,27,20,False,2013-04-04,spotify:track:7F43PFsXdFmA2q5Rtv5FmC
65617,Heart Attack,Demi Lovato,12,19,4,21,False,2013-04-04,spotify:track:1V6gIisPpYqgFeWbMLI0bA
65618,I Will Wait,Mumford & Sons,12,21,33,22,False,2013-04-04,spotify:track:1fXiYSWmkKJfRKMegCkI11
65619,It's Time,Imagine Dragons,15,22,42,23,False,2013-04-04,spotify:track:6BtmXhTJMM9sBTHeYYASGz
65620,Carry On,fun.,20,26,12,24,False,2013-04-04,spotify:track:7gpy7sfWPNuOKmUNs3XQYE
65621,Sure Be Cool If You Did,Blake Shelton,24,24,11,25,False,2013-04-04,spotify:track:5yIiXdLRE85OBiQmCaUenq
65697,Just Give Me A Reason,P!nk Featuring Nate Ruess,1,1,10,1,False,2013-05-04,spotify:track:1mKXFLRA179hdOWQBwUk9e
65698,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2,5,11,2,False,2013-05-04,spotify:track:7GRu6XaTVRIdV4E0Ty4QGX
65699,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,2,29,3,False,2013-05-04,spotify:track:6CjtS2JZH9RkDz5UVInsa9
65700,When I Was Your Man,Bruno Mars,1,3,18,4,False,2013-05-04,spotify:track:0nJW01T7XtvILxQgC5J7Wh
65701,Gentleman,PSY,5,12,2,5,False,2013-05-04,spotify:track:26spalP6x2gUAab8rwB8dQ
65702,Stay,Rihanna Featuring Mikky Ekko,3,4,11,6,False,2013-05-04,spotify:track:5HCyWlXZPP0y6Gqq8TgA20
65703,Mirrors,Justin Timberlake,7,7,10,7,False,2013-05-04,spotify:track:4rHZZAmHpZrA3iH5zx8frV
65704,Suit & Tie,Justin Timberlake Featuring JAY Z,3,6,15,8,False,2013-05-04,spotify:track:7hlA8gMMz6jSp91Twsnuv3
65705,Feel This Moment,Pitbull Featuring Christina Aguilera,8,8,13,9,False,2013-05-04,spotify:track:0Hf4aIJpsN4Os2f0y0VqWl
65706,Started From The Bottom,Drake,6,9,11,10,False,2013-05-04,spotify:track:5DI9jxTHrEiFAhStG7VA8E
65707,Heart Attack,Demi Lovato,10,10,8,11,False,2013-05-04,spotify:track:1V6gIisPpYqgFeWbMLI0bA
65708,Radioactive,Imagine Dragons,7,14,34,12,False,2013-05-04,spotify:track:4G8gkOterJn0Ywt6uhqbhp
65709,I Love It,Icona Pop Featuring Charli XCX,13,16,12,13,False,2013-05-04,spotify:track:474uVhyGgK5MtY9gMcDgGl
65710,Cruise,Florida Georgia Line Featuring Nelly,8,11,29,14,False,2013-05-04,spotify:track:0i5el041vd6nxrGEU8QRxy
65711,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,15,30,11,15,False,2013-05-04,spotify:track:2E43WFS4rRc09za2r2GmZl
65712,Love Me,Lil Wayne Featuring Drake & Future,9,15,14,16,False,2013-05-04,spotify:track:2XHzzp1j4IfTNp1FTn7YFg
65713,Harlem Shake,Baauer,1,13,10,17,False,2013-05-04,spotify:track:01XFgRZfZI7oBagNf1Loml
65714,Daylight,Maroon 5,7,17,20,18,False,2013-05-04,spotify:track:6TwfdLbaxTKzQi3AgsZNzx
65715,Get Lucky,Daft Punk Featuring Pharrell Williams,19,0,1,19,True,2013-05-04,spotify:track:2Foc5Q5nqNiosCNqttzHof
65716,Wagon Wheel,Darius Rucker,20,21,11,20,False,2013-05-04,spotify:track:3xdjjKMcMOFgo1eQrfbogM
65717,Power Trip,J. Cole Featuring Miguel,21,26,10,21,False,2013-05-04,spotify:track:2uwnP6tZVVmTovzX5ELooy
65718,Come & Get It,Selena Gomez,22,45,2,22,False,2013-05-04,spotify:track:5nFGgRVB2w2xZdrGAyMzlB
65719,Carry On,fun.,20,23,16,23,False,2013-05-04,spotify:track:7gpy7sfWPNuOKmUNs3XQYE
65720,22,Taylor Swift,24,32,8,24,False,2013-05-04,spotify:track:3yII7UwgLF6K5zW3xad3MP
65721,I Knew You Were Trouble.,Taylor Swift,2,19,27,25,False,2013-05-04,spotify:track:6AtZLIzUINvExIUy4QhdjP
65797,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,1,1,16,1,False,2013-06-04,spotify:track:7GRu6XaTVRIdV4E0Ty4QGX
65798,Just Give Me A Reason,P!nk Featuring Nate Ruess,1,2,15,2,False,2013-06-04,spotify:track:1mKXFLRA179hdOWQBwUk9e
65799,Mirrors,Justin Timberlake,3,3,15,3,False,2013-06-04,spotify:track:4rHZZAmHpZrA3iH5zx8frV
65800,Get Lucky,Daft Punk Featuring Pharrell Williams,4,10,6,4,False,2013-06-04,spotify:track:2Foc5Q5nqNiosCNqttzHof
65801,Cruise,Florida Georgia Line Featuring Nelly,5,6,34,5,False,2013-06-04,spotify:track:0i5el041vd6nxrGEU8QRxy
65802,Come & Get It,Selena Gomez,6,7,7,6,False,2013-06-04,spotify:track:5nFGgRVB2w2xZdrGAyMzlB
65803,I Love It,Icona Pop Featuring Charli XCX,7,9,17,7,False,2013-06-04,spotify:track:474uVhyGgK5MtY9gMcDgGl
65804,Stay,Rihanna Featuring Mikky Ekko,3,5,16,8,False,2013-06-04,spotify:track:5HCyWlXZPP0y6Gqq8TgA20
65805,Radioactive,Imagine Dragons,7,8,39,9,False,2013-06-04,spotify:track:4G8gkOterJn0Ywt6uhqbhp
65806,When I Was Your Man,Bruno Mars,1,4,23,10,False,2013-06-04,spotify:track:0nJW01T7XtvILxQgC5J7Wh
65807,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,11,12,6,11,False,2013-06-04,spotify:track:0n4bITAu0Y0nigrz3MFJMb
65808,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,11,34,12,False,2013-06-04,spotify:track:6CjtS2JZH9RkDz5UVInsa9
65809,The Way,Ariana Grande Featuring Mac Miller,10,13,9,13,False,2013-06-04,spotify:track:6IyoLWzljeR3ldQo4KWHT6
65810,Heart Attack,Demi Lovato,10,14,13,14,False,2013-06-04,spotify:track:1V6gIisPpYqgFeWbMLI0bA
65811,Wagon Wheel,Darius Rucker,15,21,16,15,False,2013-06-04,spotify:track:3xdjjKMcMOFgo1eQrfbogM
65812,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,16,16,9,16,False,2013-06-04,spotify:track:39FwE8edwuyiaa4PrGBkP7
65813,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,15,15,16,17,False,2013-06-04,spotify:track:2E43WFS4rRc09za2r2GmZl
65814,Feel This Moment,Pitbull Featuring Christina Aguilera,8,17,18,18,False,2013-06-04,spotify:track:0Hf4aIJpsN4Os2f0y0VqWl
65815,#thatPOWER,will.i.am Featuring Justin Bieber,17,19,10,19,False,2013-06-04,spotify:track:01TuObJVd7owWchVRuQbQw
65816,#Beautiful,Mariah Carey Featuring Miguel,20,20,3,20,False,2013-06-04,spotify:track:2rxQMGVafnNaRaXlRMWPde
65817,Power Trip,J. Cole Featuring Miguel,20,23,15,21,False,2013-06-04,spotify:track:2uwnP6tZVVmTovzX5ELooy
65818,Highway Don't Care,Tim McGraw With Taylor Swift,22,24,13,22,False,2013-06-04,spotify:track:4sSUYUpB5epI7xTi5wfpOI
65819,22,Taylor Swift,20,26,13,23,False,2013-06-04,spotify:track:3yII7UwgLF6K5zW3xad3MP
65820,Started From The Bottom,Drake,6,18,16,24,False,2013-06-04,spotify:track:5DI9jxTHrEiFAhStG7VA8E
65821,Next To Me,Emeli Sande,25,28,14,25,False,2013-06-04,spotify:track:1Xsxp1SEOxuMzjrFZhtw8u
65897,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1,1,10,1,False,2013-07-04,spotify:track:0n4bITAu0Y0nigrz3MFJMb
65898,Get Lucky,Daft Punk Featuring Pharrell Williams,2,2,10,2,False,2013-07-04,spotify:track:2Foc5Q5nqNiosCNqttzHof
65899,Radioactive,Imagine Dragons,3,4,43,3,False,2013-07-04,spotify:track:4G8gkOterJn0Ywt6uhqbhp
65900,Cruise,Florida Georgia Line Featuring Nelly,4,6,38,4,False,2013-07-04,spotify:track:0i5el041vd6nxrGEU8QRxy
65901,We Can't Stop,Miley Cyrus,5,27,3,5,False,2013-07-04,spotify:track:2y4lAQpi5VTNLu2ldeTdUH
65902,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,1,3,20,6,False,2013-07-04,spotify:track:7GRu6XaTVRIdV4E0Ty4QGX
65903,Mirrors,Justin Timberlake,2,5,19,7,False,2013-07-04,spotify:track:4rHZZAmHpZrA3iH5zx8frV
65904,Treasure,Bruno Mars,8,11,6,8,False,2013-07-04,spotify:track:55h7vJchibLdUkxdlX3fK7
65905,Come & Get It,Selena Gomez,6,8,11,9,False,2013-07-04,spotify:track:5nFGgRVB2w2xZdrGAyMzlB
65906,Just Give Me A Reason,P!nk Featuring Nate Ruess,1,7,19,10,False,2013-07-04,spotify:track:1mKXFLRA179hdOWQBwUk9e
65907,The Way,Ariana Grande Featuring Mac Miller,9,9,13,11,False,2013-07-04,spotify:track:6IyoLWzljeR3ldQo4KWHT6
65908,I Love It,Icona Pop Featuring Charli XCX,7,10,21,12,False,2013-07-04,spotify:track:474uVhyGgK5MtY9gMcDgGl
65909,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,13,13,20,13,False,2013-07-04,spotify:track:2E43WFS4rRc09za2r2GmZl
65910,Clarity,Zedd Featuring Foxes,14,14,14,14,False,2013-07-04,spotify:track:60wwxj6Dd9NJlirf84wr2c
65911,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,12,12,13,15,False,2013-07-04,spotify:track:39FwE8edwuyiaa4PrGBkP7
