,uri,features
3000,spotify:track:2VN7uPrbryJ7nE2MXX3f9a,"{'danceability': 0.652, 'energy': 0.609, 'key': 9, 'loudness': -9.684, 'mode': 0, 'speechiness': 0.028, 'acousticness': 0.298, 'instrumentalness': 8.79e-06, 'liveness': 0.0573, 'valence': 0.646, 'tempo': 98.125, 'type': 'audio_features', 'id': '2VN7uPrbryJ7nE2MXX3f9a', 'uri': 'spotify:track:2VN7uPrbryJ7nE2MXX3f9a', 'track_href': 'https://api.spotify.com/v1/tracks/2VN7uPrbryJ7nE2MXX3f9a', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2VN7uPrbryJ7nE2MXX3f9a', 'duration_ms': 230107, 'time_signature': 4}"
3001,spotify:track:2OidbJv9f6ODOoTYlp5Lm5,"{'danceability': 0.763, 'energy': 0.949, 'key': 0, 'loudness': -2.894, 'mode': 1, 'speechiness': 0.112, 'acousticness': 0.0116, 'instrumentalness': 0, 'liveness': 0.104, 'valence': 0.774, 'tempo': 132.991, 'type': 'audio_features', 'id': '2OidbJv9f6ODOoTYlp5Lm5', 'uri': 'spotify:track:2OidbJv9f6ODOoTYlp5Lm5', 'track_href': 'https://api.spotify.com/v1/tracks/2OidbJv9f6ODOoTYlp5Lm5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2OidbJv9f6ODOoTYlp5Lm5', 'duration_ms': 190154, 'time_signature': 4}"
3002,spotify:track:5UU5FbITNm5OunvHQdsKME,"{'danceability': 0.755, 'energy': 0.763, 'key': 4, 'loudness': -6.318, 'mode': 1, 'speechiness': 0.0473, 'acousticness': 0.405, 'instrumentalness': 0, 'liveness': 0.318, 'valence': 0.932, 'tempo': 122.045, 'type': 'audio_features', 'id': '5UU5FbITNm5OunvHQdsKME', 'uri': 'spotify:track:5UU5FbITNm5OunvHQdsKME', 'track_href': 'https://api.spotify.com/v1/tracks/5UU5FbITNm5OunvHQdsKME', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5UU5FbITNm5OunvHQdsKME', 'duration_ms': 248000, 'time_signature': 4}"
3003,spotify:track:5tdKaKLnC4SgtDZ6RlWeal,"{'danceability': 0.832, 'energy': 0.544, 'key': 6, 'loudness': -12.697, 'mode': 1, 'speechiness': 0.0442, 'acousticness': 0.201, 'instrumentalness': 0.000139, 'liveness': 0.632, 'valence': 0.928, 'tempo': 119.49, 'type': 'audio_features', 'id': '5tdKaKLnC4SgtDZ6RlWeal', 'uri': 'spotify:track:5tdKaKLnC4SgtDZ6RlWeal', 'track_href': 'https://api.spotify.com/v1/tracks/5tdKaKLnC4SgtDZ6RlWeal', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5tdKaKLnC4SgtDZ6RlWeal', 'duration_ms': 275533, 'time_signature': 4}"
3004,spotify:track:5BXj1QDRU77J1ngVavG1tI,"{'danceability': 0.489, 'energy': 0.676, 'key': 0, 'loudness': -8.769, 'mode': 1, 'speechiness': 0.0368, 'acousticness': 0.287, 'instrumentalness': 0, 'liveness': 0.389, 'valence': 0.622, 'tempo': 89.749, 'type': 'audio_features', 'id': '5BXj1QDRU77J1ngVavG1tI', 'uri': 'spotify:track:5BXj1QDRU77J1ngVavG1tI', 'track_href': 'https://api.spotify.com/v1/tracks/5BXj1QDRU77J1ngVavG1tI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5BXj1QDRU77J1ngVavG1tI', 'duration_ms': 256960, 'time_signature': 4}"
3005,spotify:track:4zpKunH4r2FFnETG9aEhfa,"{'danceability': 0.606, 'energy': 0.643, 'key': 7, 'loudness': -10.438, 'mode': 1, 'speechiness': 0.0305, 'acousticness': 0.0286, 'instrumentalness': 0.00247, 'liveness': 0.238, 'valence': 0.717, 'tempo': 96.088, 'type': 'audio_features', 'id': '4zpKunH4r2FFnETG9aEhfa', 'uri': 'spotify:track:4zpKunH4r2FFnETG9aEhfa', 'track_href': 'https://api.spotify.com/v1/tracks/4zpKunH4r2FFnETG9aEhfa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4zpKunH4r2FFnETG9aEhfa', 'duration_ms': 287907, 'time_signature': 4}"
3006,spotify:track:4Y5yjzs9FFw5qIgfZBd43I,"{'danceability': 0.754, 'energy': 0.854, 'key': 0, 'loudness': -7.114, 'mode': 1, 'speechiness': 0.0363, 'acousticness': 0.00148, 'instrumentalness': 0.00692, 'liveness': 0.0675, 'valence': 0.761, 'tempo': 113.908, 'type': 'audio_features', 'id': '4Y5yjzs9FFw5qIgfZBd43I', 'uri': 'spotify:track:4Y5yjzs9FFw5qIgfZBd43I', 'track_href': 'https://api.spotify.com/v1/tracks/4Y5yjzs9FFw5qIgfZBd43I', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Y5yjzs9FFw5qIgfZBd43I', 'duration_ms': 282840, 'time_signature': 4}"
3007,spotify:track:3FdHgoJbH3DXNtGLh56pFu,"{'danceability': 0.789, 'energy': 0.656, 'key': 2, 'loudness': -14.825, 'mode': 1, 'speechiness': 0.0474, 'acousticness': 0.168, 'instrumentalness': 0.0409, 'liveness': 0.0311, 'valence': 0.865, 'tempo': 122.237, 'type': 'audio_features', 'id': '3FdHgoJbH3DXNtGLh56pFu', 'uri': 'spotify:track:3FdHgoJbH3DXNtGLh56pFu', 'track_href': 'https://api.spotify.com/v1/tracks/3FdHgoJbH3DXNtGLh56pFu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3FdHgoJbH3DXNtGLh56pFu', 'duration_ms': 254000, 'time_signature': 4}"
3008,spotify:track:5zSwmohdHeH2xmrWDFZUZZ,"{'danceability': 0.75, 'energy': 0.498, 'key': 7, 'loudness': -15.939, 'mode': 0, 'speechiness': 0.0372, 'acousticness': 0.141, 'instrumentalness': 5.61e-05, 'liveness': 0.135, 'valence': 0.857, 'tempo': 119.238, 'type': 'audio_features', 'id': '5zSwmohdHeH2xmrWDFZUZZ', 'uri': 'spotify:track:5zSwmohdHeH2xmrWDFZUZZ', 'track_href': 'https://api.spotify.com/v1/tracks/5zSwmohdHeH2xmrWDFZUZZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5zSwmohdHeH2xmrWDFZUZZ', 'duration_ms': 318040, 'time_signature': 4}"
3009,spotify:track:0sKfhhj6hYyJIXnTiZV9vf,"{'danceability': 0.752, 'energy': 0.823, 'key': 10, 'loudness': -9.455, 'mode': 0, 'speechiness': 0.0447, 'acousticness': 0.128, 'instrumentalness': 0.0098, 'liveness': 0.303, 'valence': 0.962, 'tempo': 91.563, 'type': 'audio_features', 'id': '0sKfhhj6hYyJIXnTiZV9vf', 'uri': 'spotify:track:0sKfhhj6hYyJIXnTiZV9vf', 'track_href': 'https://api.spotify.com/v1/tracks/0sKfhhj6hYyJIXnTiZV9vf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0sKfhhj6hYyJIXnTiZV9vf', 'duration_ms': 277373, 'time_signature': 4}"
