,uri,features
10,spotify:track:70FdlOx7tulYnp2IkS6qQw,"{'danceability': 0.543, 'energy': 0.554, 'key': 8, 'loudness': -14.174, 'mode': 1, 'speechiness': 0.0372, 'acousticness': 0.398, 'instrumentalness': 3.83e-05, 'liveness': 0.236, 'valence': 0.974, 'tempo': 147.777, 'type': 'audio_features', 'id': '70FdlOx7tulYnp2IkS6qQw', 'uri': 'spotify:track:70FdlOx7tulYnp2IkS6qQw', 'track_href': 'https://api.spotify.com/v1/tracks/70FdlOx7tulYnp2IkS6qQw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/70FdlOx7tulYnp2IkS6qQw', 'duration_ms': 125153, 'time_signature': 4}"
11,spotify:track:1fDKsQrMYOTGHYgyIxycmM,"{'danceability': 0.484, 'energy': 0.456, 'key': 7, 'loudness': -5.927, 'mode': 1, 'speechiness': 0.0406, 'acousticness': 0.801, 'instrumentalness': 0, 'liveness': 0.119, 'valence': 0.708, 'tempo': 83.461, 'type': 'audio_features', 'id': '1fDKsQrMYOTGHYgyIxycmM', 'uri': 'spotify:track:1fDKsQrMYOTGHYgyIxycmM', 'track_href': 'https://api.spotify.com/v1/tracks/1fDKsQrMYOTGHYgyIxycmM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1fDKsQrMYOTGHYgyIxycmM', 'duration_ms': 151347, 'time_signature': 4}"
12,spotify:track:3bOkX6Yz6Pe4NByWzuJY6G,"{'danceability': 0.31, 'energy': 0.122, 'key': 3, 'loudness': -16.23, 'mode': 1, 'speechiness': 0.0344, 'acousticness': 0.878, 'instrumentalness': 0.000182, 'liveness': 0.122, 'valence': 0.342, 'tempo': 83.152, 'type': 'audio_features', 'id': '3bOkX6Yz6Pe4NByWzuJY6G', 'uri': 'spotify:track:3bOkX6Yz6Pe4NByWzuJY6G', 'track_href': 'https://api.spotify.com/v1/tracks/3bOkX6Yz6Pe4NByWzuJY6G', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3bOkX6Yz6Pe4NByWzuJY6G', 'duration_ms': 162307, 'time_signature': 4}"
13,spotify:track:2UL1EwS6tfbNrdH805oyvi,"{'danceability': 0.365, 'energy': 0.438, 'key': 2, 'loudness': -16.317, 'mode': 1, 'speechiness': 0.309, 'acousticness': 0.659, 'instrumentalness': 0.000672, 'liveness': 0.847, 'valence': 0.506, 'tempo': 75.55, 'type': 'audio_features', 'id': '2UL1EwS6tfbNrdH805oyvi', 'uri': 'spotify:track:2UL1EwS6tfbNrdH805oyvi', 'track_href': 'https://api.spotify.com/v1/tracks/2UL1EwS6tfbNrdH805oyvi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2UL1EwS6tfbNrdH805oyvi', 'duration_ms': 251613, 'time_signature': 3}"
14,spotify:track:006Ndmw2hHxvnLbJsBFnPx,"{'danceability': 0.518, 'energy': 0.06, 'key': 10, 'loudness': -14.887, 'mode': 1, 'speechiness': 0.0441, 'acousticness': 0.987, 'instrumentalness': 7.87e-06, 'liveness': 0.161, 'valence': 0.336, 'tempo': 127.87, 'type': 'audio_features', 'id': '006Ndmw2hHxvnLbJsBFnPx', 'uri': 'spotify:track:006Ndmw2hHxvnLbJsBFnPx', 'track_href': 'https://api.spotify.com/v1/tracks/006Ndmw2hHxvnLbJsBFnPx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/006Ndmw2hHxvnLbJsBFnPx', 'duration_ms': 216373, 'time_signature': 4}"
15,spotify:track:3c7KT5CN8uYRaK3xThhdYt,"{'danceability': 0.408, 'energy': 0.397, 'key': 9, 'loudness': -12.536, 'mode': 1, 'speechiness': 0.03, 'acousticness': 0.873, 'instrumentalness': 0, 'liveness': 0.28, 'valence': 0.697, 'tempo': 72.615, 'type': 'audio_features', 'id': '3c7KT5CN8uYRaK3xThhdYt', 'uri': 'spotify:track:3c7KT5CN8uYRaK3xThhdYt', 'track_href': 'https://api.spotify.com/v1/tracks/3c7KT5CN8uYRaK3xThhdYt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3c7KT5CN8uYRaK3xThhdYt', 'duration_ms': 162773, 'time_signature': 4}"
16,spotify:track:2ZCkqAo0tzzCVOth7ityh5,"{'danceability': 0.658, 'energy': 0.706, 'key': 11, 'loudness': -9.076, 'mode': 1, 'speechiness': 0.0354, 'acousticness': 0.686, 'instrumentalness': 2.18e-06, 'liveness': 0.166, 'valence': 0.965, 'tempo': 141.194, 'type': 'audio_features', 'id': '2ZCkqAo0tzzCVOth7ityh5', 'uri': 'spotify:track:2ZCkqAo0tzzCVOth7ityh5', 'track_href': 'https://api.spotify.com/v1/tracks/2ZCkqAo0tzzCVOth7ityh5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2ZCkqAo0tzzCVOth7ityh5', 'duration_ms': 136427, 'time_signature': 4}"
17,spotify:track:2DAgYTzfPYqKJu0uItsNMd,"{'danceability': 0.532, 'energy': 0.787, 'key': 7, 'loudness': -7.091, 'mode': 1, 'speechiness': 0.19, 'acousticness': 0.581, 'instrumentalness': 0, 'liveness': 0.175, 'valence': 0.894, 'tempo': 171.552, 'type': 'audio_features', 'id': '2DAgYTzfPYqKJu0uItsNMd', 'uri': 'spotify:track:2DAgYTzfPYqKJu0uItsNMd', 'track_href': 'https://api.spotify.com/v1/tracks/2DAgYTzfPYqKJu0uItsNMd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2DAgYTzfPYqKJu0uItsNMd', 'duration_ms': 154627, 'time_signature': 4}"
18,spotify:track:398Q0gLfmsjJ5GFx9W2q5Y,"{'danceability': 0.668, 'energy': 0.457, 'key': 7, 'loudness': -7.138, 'mode': 1, 'speechiness': 0.0637, 'acousticness': 0.493, 'instrumentalness': 0.0147, 'liveness': 0.117, 'valence': 0.691, 'tempo': 120.494, 'type': 'audio_features', 'id': '398Q0gLfmsjJ5GFx9W2q5Y', 'uri': 'spotify:track:398Q0gLfmsjJ5GFx9W2q5Y', 'track_href': 'https://api.spotify.com/v1/tracks/398Q0gLfmsjJ5GFx9W2q5Y', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/398Q0gLfmsjJ5GFx9W2q5Y', 'duration_ms': 140504, 'time_signature': 4}"
19,spotify:track:2lmPUdIdzlFH64PWJrw6Zb,"{'danceability': 0.384, 'energy': 0.276, 'key': 3, 'loudness': -13.527, 'mode': 1, 'speechiness': 0.0295, 'acousticness': 0.038, 'instrumentalness': 0, 'liveness': 0.309, 'valence': 0.654, 'tempo': 105.181, 'type': 'audio_features', 'id': '2lmPUdIdzlFH64PWJrw6Zb', 'uri': 'spotify:track:2lmPUdIdzlFH64PWJrw6Zb', 'track_href': 'https://api.spotify.com/v1/tracks/2lmPUdIdzlFH64PWJrw6Zb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2lmPUdIdzlFH64PWJrw6Zb', 'duration_ms': 159040, 'time_signature': 3}"
20,spotify:track:07ePHsQ0SopWrnCbNjNC2D,"{'danceability': 0.432, 'energy': 0.202, 'key': 0, 'loudness': -14.518, 'mode': 1, 'speechiness': 0.0283, 'acousticness': 0.908, 'instrumentalness': 0, 'liveness': 0.181, 'valence': 0.641, 'tempo': 100.082, 'type': 'audio_features', 'id': '07ePHsQ0SopWrnCbNjNC2D', 'uri': 'spotify:track:07ePHsQ0SopWrnCbNjNC2D', 'track_href': 'https://api.spotify.com/v1/tracks/07ePHsQ0SopWrnCbNjNC2D', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/07ePHsQ0SopWrnCbNjNC2D', 'duration_ms': 140533, 'time_signature': 3}"
21,spotify:track:3ZyJfbh2Y9y15f45qY1pDJ,"{'danceability': 0.552, 'energy': 0.284, 'key': 4, 'loudness': -10.481, 'mode': 1, 'speechiness': 0.0259, 'acousticness': 0.821, 'instrumentalness': 8.15e-06, 'liveness': 0.119, 'valence': 0.788, 'tempo': 85.077, 'type': 'audio_features', 'id': '3ZyJfbh2Y9y15f45qY1pDJ', 'uri': 'spotify:track:3ZyJfbh2Y9y15f45qY1pDJ', 'track_href': 'https://api.spotify.com/v1/tracks/3ZyJfbh2Y9y15f45qY1pDJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3ZyJfbh2Y9y15f45qY1pDJ', 'duration_ms': 139013, 'time_signature': 4}"
22,spotify:track:6NWKlkSFWP2Et2cEOpCbPY,"{'danceability': 0.4, 'energy': 0.386, 'key': 7, 'loudness': -10.885, 'mode': 1, 'speechiness': 0.0981, 'acousticness': 0.833, 'instrumentalness': 0, 'liveness': 0.451, 'valence': 0.524, 'tempo': 68.108, 'type': 'audio_features', 'id': '6NWKlkSFWP2Et2cEOpCbPY', 'uri': 'spotify:track:6NWKlkSFWP2Et2cEOpCbPY', 'track_href': 'https://api.spotify.com/v1/tracks/6NWKlkSFWP2Et2cEOpCbPY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6NWKlkSFWP2Et2cEOpCbPY', 'duration_ms': 142000, 'time_signature': 3}"
23,spotify:track:1xjCGpAJVRAECqs5Pt6Gw1,"{'danceability': 0.69, 'energy': 0.493, 'key': 9, 'loudness': -8.285, 'mode': 1, 'speechiness': 0.0286, 'acousticness': 0.894, 'instrumentalness': 6.58e-06, 'liveness': 0.246, 'valence': 0.666, 'tempo': 121.454, 'type': 'audio_features', 'id': '1xjCGpAJVRAECqs5Pt6Gw1', 'uri': 'spotify:track:1xjCGpAJVRAECqs5Pt6Gw1', 'track_href': 'https://api.spotify.com/v1/tracks/1xjCGpAJVRAECqs5Pt6Gw1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1xjCGpAJVRAECqs5Pt6Gw1', 'duration_ms': 154680, 'time_signature': 4}"
24,spotify:track:3QWUoUlkbCJPAD0YhLjtLS,"{'danceability': 0.907, 'energy': 0.732, 'key': 8, 'loudness': -11.093, 'mode': 1, 'speechiness': 0.127, 'acousticness': 0.2, 'instrumentalness': 0.43, 'liveness': 0.104, 'valence': 0.646, 'tempo': 118.463, 'type': 'audio_features', 'id': '3QWUoUlkbCJPAD0YhLjtLS', 'uri': 'spotify:track:3QWUoUlkbCJPAD0YhLjtLS', 'track_href': 'https://api.spotify.com/v1/tracks/3QWUoUlkbCJPAD0YhLjtLS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3QWUoUlkbCJPAD0YhLjtLS', 'duration_ms': 175217, 'time_signature': 4}"
25,spotify:track:3oAWTk92mZBxKBOKf8mR5v,"{'danceability': 0.714, 'energy': 0.886, 'key': 11, 'loudness': -8.629, 'mode': 0, 'speechiness': 0.0554, 'acousticness': 0.116, 'instrumentalness': 0.184, 'liveness': 0.18, 'valence': 0.954, 'tempo': 156.351, 'type': 'audio_features', 'id': '3oAWTk92mZBxKBOKf8mR5v', 'uri': 'spotify:track:3oAWTk92mZBxKBOKf8mR5v', 'track_href': 'https://api.spotify.com/v1/tracks/3oAWTk92mZBxKBOKf8mR5v', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3oAWTk92mZBxKBOKf8mR5v', 'duration_ms': 119360, 'time_signature': 4}"
