,uri,features
2000,spotify:track:3PkGlPiPrehqbgCXJhxvwl,"{'danceability': 0.622, 'energy': 0.425, 'key': 10, 'loudness': -16.256, 'mode': 1, 'speechiness': 0.052, 'acousticness': 0.291, 'instrumentalness': 5.81e-05, 'liveness': 0.0498, 'valence': 0.415, 'tempo': 96.168, 'type': 'audio_features', 'id': '3PkGlPiPrehqbgCXJhxvwl', 'uri': 'spotify:track:3PkGlPiPrehqbgCXJhxvwl', 'track_href': 'https://api.spotify.com/v1/tracks/3PkGlPiPrehqbgCXJhxvwl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3PkGlPiPrehqbgCXJhxvwl', 'duration_ms': 1008533, 'time_signature': 4}"
2001,spotify:track:3AdX0KdVoMBqe82b19rWAU,"{'danceability': 0.391, 'energy': 0.441, 'key': 7, 'loudness': -9.876, 'mode': 1, 'speechiness': 0.0267, 'acousticness': 0.573, 'instrumentalness': 0, 'liveness': 0.0665, 'valence': 0.513, 'tempo': 76.524, 'type': 'audio_features', 'id': '3AdX0KdVoMBqe82b19rWAU', 'uri': 'spotify:track:3AdX0KdVoMBqe82b19rWAU', 'track_href': 'https://api.spotify.com/v1/tracks/3AdX0KdVoMBqe82b19rWAU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3AdX0KdVoMBqe82b19rWAU', 'duration_ms': 195760, 'time_signature': 4}"
2002,spotify:track:5cAGsX0EzCqKuQr7nui6T7,"{'danceability': 0.62, 'energy': 0.804, 'key': 10, 'loudness': -7.606, 'mode': 1, 'speechiness': 0.0937, 'acousticness': 0.248, 'instrumentalness': 1.07e-05, 'liveness': 0.213, 'valence': 0.776, 'tempo': 102.265, 'type': 'audio_features', 'id': '5cAGsX0EzCqKuQr7nui6T7', 'uri': 'spotify:track:5cAGsX0EzCqKuQr7nui6T7', 'track_href': 'https://api.spotify.com/v1/tracks/5cAGsX0EzCqKuQr7nui6T7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5cAGsX0EzCqKuQr7nui6T7', 'duration_ms': 328920, 'time_signature': 4}"
2003,spotify:track:1QoPtpJPMP0Zx8oxd0eDip,"{'danceability': 0.644, 'energy': 0.736, 'key': 10, 'loudness': -8.621, 'mode': 1, 'speechiness': 0.0255, 'acousticness': 0.379, 'instrumentalness': 0, 'liveness': 0.0605, 'valence': 0.884, 'tempo': 114.21, 'type': 'audio_features', 'id': '1QoPtpJPMP0Zx8oxd0eDip', 'uri': 'spotify:track:1QoPtpJPMP0Zx8oxd0eDip', 'track_href': 'https://api.spotify.com/v1/tracks/1QoPtpJPMP0Zx8oxd0eDip', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1QoPtpJPMP0Zx8oxd0eDip', 'duration_ms': 187376, 'time_signature': 4}"
2004,spotify:track:5W5FVsgGCe3T9nIMkiXqNo,"{'danceability': 0.774, 'energy': 0.698, 'key': 9, 'loudness': -7.5, 'mode': 1, 'speechiness': 0.0481, 'acousticness': 0.157, 'instrumentalness': 0.00027, 'liveness': 0.0684, 'valence': 0.969, 'tempo': 122.325, 'type': 'audio_features', 'id': '5W5FVsgGCe3T9nIMkiXqNo', 'uri': 'spotify:track:5W5FVsgGCe3T9nIMkiXqNo', 'track_href': 'https://api.spotify.com/v1/tracks/5W5FVsgGCe3T9nIMkiXqNo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5W5FVsgGCe3T9nIMkiXqNo', 'duration_ms': 203867, 'time_signature': 4}"
2005,spotify:track:714hERk9U1W8FMYkoC83CO,"{'danceability': 0.791, 'energy': 0.733, 'key': 5, 'loudness': -5.465, 'mode': 1, 'speechiness': 0.0633, 'acousticness': 0.523, 'instrumentalness': 0.0016, 'liveness': 0.167, 'valence': 0.962, 'tempo': 105.853, 'type': 'audio_features', 'id': '714hERk9U1W8FMYkoC83CO', 'uri': 'spotify:track:714hERk9U1W8FMYkoC83CO', 'track_href': 'https://api.spotify.com/v1/tracks/714hERk9U1W8FMYkoC83CO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/714hERk9U1W8FMYkoC83CO', 'duration_ms': 244920, 'time_signature': 4}"
2006,spotify:track:3rwzr0FvLhutQazlDqpOai,"{'danceability': 0.435, 'energy': 0.794, 'key': 9, 'loudness': -8.927, 'mode': 1, 'speechiness': 0.101, 'acousticness': 0.000369, 'instrumentalness': 0.000251, 'liveness': 0.205, 'valence': 0.272, 'tempo': 166.507, 'type': 'audio_features', 'id': '3rwzr0FvLhutQazlDqpOai', 'uri': 'spotify:track:3rwzr0FvLhutQazlDqpOai', 'track_href': 'https://api.spotify.com/v1/tracks/3rwzr0FvLhutQazlDqpOai', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3rwzr0FvLhutQazlDqpOai', 'duration_ms': 281747, 'time_signature': 4}"
2007,spotify:track:6Qb7gtV6Q4MnUjSbkFcopl,"{'danceability': 0.815, 'energy': 0.372, 'key': 7, 'loudness': -12.814, 'mode': 1, 'speechiness': 0.0752, 'acousticness': 0.166, 'instrumentalness': 0.000116, 'liveness': 0.0767, 'valence': 0.293, 'tempo': 101.684, 'type': 'audio_features', 'id': '6Qb7gtV6Q4MnUjSbkFcopl', 'uri': 'spotify:track:6Qb7gtV6Q4MnUjSbkFcopl', 'track_href': 'https://api.spotify.com/v1/tracks/6Qb7gtV6Q4MnUjSbkFcopl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Qb7gtV6Q4MnUjSbkFcopl', 'duration_ms': 217347, 'time_signature': 4}"
2008,spotify:track:5x9xxVr7nJ9xMfDIW02Nv3,"{'danceability': 0.634, 'energy': 0.897, 'key': 9, 'loudness': -6.365, 'mode': 0, 'speechiness': 0.0398, 'acousticness': 0.00121, 'instrumentalness': 0.867, 'liveness': 0.134, 'valence': 0.963, 'tempo': 109.282, 'type': 'audio_features', 'id': '5x9xxVr7nJ9xMfDIW02Nv3', 'uri': 'spotify:track:5x9xxVr7nJ9xMfDIW02Nv3', 'track_href': 'https://api.spotify.com/v1/tracks/5x9xxVr7nJ9xMfDIW02Nv3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5x9xxVr7nJ9xMfDIW02Nv3', 'duration_ms': 201493, 'time_signature': 4}"
2009,spotify:track:28WMPttAOsyV90WNiMXESa,"{'danceability': 0.822, 'energy': 0.92, 'key': 2, 'loudness': -10.68, 'mode': 1, 'speechiness': 0.0414, 'acousticness': 0.0256, 'instrumentalness': 0.000981, 'liveness': 0.2, 'valence': 0.503, 'tempo': 140.713, 'type': 'audio_features', 'id': '28WMPttAOsyV90WNiMXESa', 'uri': 'spotify:track:28WMPttAOsyV90WNiMXESa', 'track_href': 'https://api.spotify.com/v1/tracks/28WMPttAOsyV90WNiMXESa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/28WMPttAOsyV90WNiMXESa', 'duration_ms': 404173, 'time_signature': 4}"
